EN,FR
i m surprised that you re so naive .,je suis surpris que vous soyez si naives .
you are in a safe place .,vous etes en lieu sur .
you re really a hard worker .,tu es vraiment dur au travail .
you re really a hard worker .,vous etes vraiment apre au travail .
you are apt to be forgetful .,tu as tendance a etre oublieux .
you are now an adult .,tu es desormais un adulte .
you are not a child any more .,tu n es plus un enfant .
you are old enough to know this .,tu es suffisamment vieux pour savoir ca .
you re such a cute boy .,tu es un garcon tellement mignon !
you re a friend of tom s eh ?,tu es l ami de tom pas vrai ?
you are very brave .,tu es tres courageux .
you are very brave .,tu es tres brave .
you are very brave .,vous etes tres courageux .
you are very brave .,vous etes tres courageuse .
you are very brave .,vous etes tres courageuses .
you are to start at once .,vous devez commencer immediatement .
you are responsible for the result .,vous etes responsable des resultats .
you are responsible for the result .,tu es responsable de ce resultat .
you re wet through .,tu es trempee .
you re wet through .,tu es trempe .
you re wet through .,vous etes trempe .
you re wet through .,vous etes trempes .
you re wet through .,vous etes trempees .
you aren t a spy are you ?,tu n es pas un espion si ?
you aren t a spy are you ?,vous n etes pas une espionne si ?
you are not to leave this room .,vous ne devez pas quitter cette piece .
you are not to leave this room .,tu ne dois pas quitter cette piece .
you are suitable for the job .,vous convenez au poste .
you re starting to warm up now .,tu commences a t echauffer maintenant .
you are now among the elite .,tu fais maintenant partie de l elite .
you are always as busy as a bee .,tu es toujours aussi affaire qu une abeille .
you re always criticizing me !,tu me critiques tout le temps !
you re always criticizing me !,vous me critiquez sans cesse !
you re always finding fault with me .,tu trouves toujours des reproches a me faire .
you are always complaining .,tu te plains toujours .
you are always complaining .,vous vous plaignez toujours .
you are always complaining .,tu as toujours a te plaindre .
you re always anticipating trouble .,tu prevois toujours des problemes .
you re always anticipating trouble .,vous anticipez toujours des ennuis .
you are always doubting my word .,tu doutes toujours de ma parole .
you are always finding fault with me .,tu as toujours quelque chose a me reprocher .
you are always finding fault with me .,vous avez toujours quelque chose a me reprocher .
you are always watching tv .,tu regardes tout le temps la tele .
you are always watching tv .,vous regardez tout le temps la television .
you are watching tv all the time .,tu regardes tout le temps la tele .
you are always hearing but not listening .,tu entends toujours mais tu n ecoutes pas .
you are naughty .,tu es mechant .
you are naughty .,tu es vilain .
you are naughty .,vous etes vilain .
you are naughty .,tu es vilaine .
you are naughty .,vous etes vilaine .
you are a good boy .,tu es un bon garcon .
you are a good boy .,vous etes un bon garcon .
you are a good boy .,t es un bon garcon !
you are right in a way .,en un sens tu as raison .
you are right in a way .,en un sens vous avez raison .
you re a philosopher aren t you ?,vous etes philosophe n est ce pas ?
you are expected to come by .,tu es attendu a cinq heures .
i am sick of your complaint .,j en ai assez de votre recrimination .
i m tired of your complaints .,je suis fatigue par vos plaintes .
i am in favor of your proposal .,je suis en faveur de votre proposition .
i am in favor of your proposal .,je suis en faveur de ta proposition .
i m fed up with your constant complaining .,je suis excede par vos plaintes incessantes .
i m sure of your success .,je suis certain de ton succes .
i am glad to hear of your success .,je suis heureux d apprendre votre succes .
he is equal to the task .,il est a la hauteur de la tache .
you are not consistent in your actions .,tu n es pas coherent dans tes actions .
i am ashamed of your conduct .,j ai honte de ta conduite .
i am ashamed of your conduct .,j ai honte de votre conduite .
i am amazed at your audacity .,je suis etonne par ton audace .
you re just being diplomatic .,tu veux juste paraitre diplomate .
you are not consistent .,tu n es pas coherent .
i m sorry to upset your plans .,je suis desole de decevoir tes plans .
i m sorry to upset your plans .,je suis desole de decevoir vos plans .
i m sick of listening to your complaints .,je suis fatigue d ecouter tes plaintes .
i am losing my patience with you .,je perds patience avec toi .
i am losing my patience with you .,je perds patience avec vous .
you re on the right track .,tu es sur la bonne pente .
you re on the right track .,vous etes sur la bonne piste .
you re on the right track .,tu es en bonne voie .
i am ready to do anything for you .,je suis pret a tout faire pour vous .
i am ready to do anything for you .,je suis pret a tout faire pour toi .
i am ready to do anything for you .,je suis prete a tout faire pour toi .
i am ready to do anything for you .,je suis prete a tout faire pour vous .
we are worried about you .,nous nous inquietons pour toi .
we are worried about you .,nous sommes inquiets a votre sujet .
you are wanted on the phone .,on te reclame au telephone .
i m adamant that you should go .,j insiste que vous devez partir .
i m very glad to see you .,je suis tres heureux de vous voir .
i am looking forward to seeing you .,je suis impatient de vous rencontrer .
you are in part responsible for it .,tu en es en partie responsable .
you are in part responsible for it .,vous en etes en partie responsable .
you are in part responsible for it .,vous en etes en partie responsables .
i m leaving it to you .,je te le laisse .
i m leaving it to you .,je vous laisse ca .
you are hopeless .,tu es impossible .
i am disgusted with you .,je suis degoute de toi .
i m anxious to see you .,je suis impatient de te voir .
i m anxious to see you .,je suis impatient de vous voir .
i m leaving you tomorrow .,je te quitte demain .
you are young boys .,vous etes des jeunes garcons .
you re the best man for the job .,tu es le meilleur pour ce travail .
you re the best man for the job .,tu es le meilleur pour le boulot .
i am glad that you have succeeded .,je suis heureuse que vous ayez reussi .
you are to blame .,vous etes responsable .
you are to blame .,vous etes responsables .
i m looking forward to hearing from you .,j attends de vos nouvelles .
i m looking forward to hearing from you .,j espere avoir de tes nouvelles .
i m surprised at your behavior .,je suis surpris de ton comportement .
i m glad you liked it .,je suis heureux que tu l aies aime .
you are hearing things .,vous entendez des choses .
you are hearing things .,tu entends des choses .
i m broke .,je suis fauche .
i m broke .,je n ai plus un sou .
i m feeding the goldfish .,je nourris le poisson rouge .
i am short of money .,je manque d argent .
i am short of money .,j ai un probleme d argent .
i m allergic to fish .,je suis allergique au poisson .
we are looking forward to the holidays .,nous attendons les vacances avec impatience .
you are beautiful .,tu es beau .
you are beautiful .,tu es belle .
you are beautiful .,vous etes beau .
you are beautiful .,vous etes belle .
you are beautiful .,vous etes beaux .
you are beautiful .,vous etes belles .
you re her daughters .,vous etes ses filles .
you are human .,tu es humain .
you are human .,vous etes humains .
you are actresses .,vous etes des actrices .
you are the only one .,tu es le seul .
you are doctors .,vous etes docteurs .
you are much too kind to me .,tu es beaucoup trop gentil avec moi .
you are much too kind to me .,tu es beaucoup trop gentille avec moi .
you are much too kind to me .,vous etes beaucoup trop gentils avec moi .
you are my best friend .,tu es mon meilleur ami .
you are my best friend .,tu es ma meilleure amie .
you are a doctor .,vous etes docteur .
you are a doctor .,vous etes medecin .
you are a doctor .,tu es toubib .
i m not feeling well .,je ne me sens pas bien .
i m not up for it .,je ne me sens pas d attaque .
i m feeling fine now .,je vais bien maintenant .
i m feeling fine now .,maintenant je me sens bien .
i m exhausted .,je suis epuisee .
i m exhausted .,je suis epuise .
i m exhausted .,je suis vanne .
i m exhausted .,je suis vannee .
i m exhausted .,je suis fourbu .
i m exhausted .,je suis creve .
i m exhausted .,je suis extenue .
i m not in the mood .,je ne suis pas d humeur .
he is cranky .,il est excentrique .
he s possessed by a strange idea .,il est possede par une idee etrange .
i m willing to help him .,je suis dispose a l aider .
i m quite agreeable to doing my duty .,je veux bien faire mon devoir .
i am glad to accept your invitation .,je suis heureux d accepter votre invitation .
i am glad to accept your invitation .,je suis heureuse d accepter votre invitation .
i am ready to go with you .,je suis pret a aller avec vous .
i m glad you enjoyed it .,je suis heureux que tu aies apprecie .
i m looking forward to seeing you soon .,j ai hate de te voir bientot .
i m looking forward to seeing you soon .,je suis impatient de te voir bientot .
i m looking forward to seeing you soon .,je suis impatiente de te voir bientot .
we are looking forward to seeing you soon .,nous sommes impatients de vous voir .
i m afraid not .,j ai bien peur que non .
i m afraid not .,je crains que non .
i m dripping with sweat .,je degouline de sueur .
i m freezing .,je suis gele .
i m looking for batteries .,je cherche des piles .
i m looking forward to it .,j attends cela avec impatience .
he is something of a scholar .,il a quelque chose d un erudit .
i m going to join the school orchestra .,je vais rejoindre l orchestre de l ecole .
you re never too old to learn .,mieux vaut tard que jamais .
you re never too old to learn .,personne n est trop vieux pour apprendre .
you re never too old to learn .,on n est jamais trop vieux pour apprendre .
you re never too old to learn .,on est jamais trop vieux pour apprendre .
you re never too old to learn .,tu n es pas trop vieux pour apprendre .
he is a clever boy to be sure .,c est un garcon malin c est certain .
i am positive that he is wrong .,je suis certain qu il a tort .
i m sure i ve seen him before .,je suis sur de l avoir vu auparavant .
i m thinking of going abroad .,je pense aller a l etranger .
he is playing outdoors .,il joue dehors .
i m going to france to study painting .,je vais en france pour etudier la peinture .
i am taking a holiday at the beach .,je prends des vacances a la plage .
we re on our way home .,nous sommes sur le chemin de la maison .
i m glad to see you .,je suis heureux de vous voir .
i m glad to see you .,je suis enchante de vous rencontrer .
i m glad to see you .,je suis heureux de te voir .
we are very interested in the history .,nous sommes tres interesses par l histoire .
we are lovers of the beautiful .,nous sommes des amoureux du beau .
we are under his command .,nous sommes sous son commandement .
we are against war .,nous sommes contre la guerre .
we are to meet at noon .,nous avons rendez vous a midi .
we are longing for world peace .,nous desirons la paix dans le monde .
we are firmly confident of victory .,nous sommes entierement confiants dans la victoire .
we are free from danger .,nous sommes hors de danger .
we are influenced by our environment .,nous sommes influences par notre environnement .
we are facing a violent crisis .,nous faisons face a une crise violente .
we are liable for the damage .,nous sommes responsables en cas de degats .
we re getting nowhere with those problems .,ces problemes ne nous menent a rien .
i m allergic to pollen .,j ai une allergie au pollen .
i m free .,je suis libre .
i m free .,je suis disponible .
i am determined to be a scientist .,je suis determine a devenir un scientifique .
i m sick of listening to her complaints .,j en ai marre d ecouter ses plaintes .
we are a family of four .,nous sommes une famille de quatre .
i m getting a new house built .,je me fais construire une nouvelle maison .
we re goin home .,on rentre chez nous .
he is away from home .,il est loin de chez lui .
you are sure to succeed whatever you do .,tu reussiras sans aucun doute quoique tu fasses .
i m looking for a warm woolen skirt .,je cherche une chaude jupe laineuse .
i m a free man .,je suis un homme libre .
i m living in the city .,je vis en ville .
i am incomplete .,je suis incomplet .
i m a hero .,je suis un heros .
i m a zero .,je suis un zero .
i m playing a tv game .,je joue a un jeu televise .
i m playing a tv game .,je joue a un jeu sur console .
i m so unimportant and insignificant .,je suis si peu important et si insignifiant .
he is an unsung hero .,c est un heros inconnu .
i m going to go to the movies .,je vais aller au cinema .
you are lying .,tu mens .
you are lying .,vous mentez .
you are lying .,vous etes en train de mentir .
you are lying .,tu es en train de mentir .
i m afraid it will be rainy .,j ai peur qu il pleuve .
i m taking an exam in january .,je passe un examen en janvier .
she is unconscious .,elle est inconsciente .
we are faced with many difficulties .,nous sommes confrontes a de nombreuses difficultes .
we are but men not gods .,nous sommes des hommes non des dieux .
we are not born for ourselves .,nous ne sommes pas nes pour nous memes .
we are subject to the laws of nature .,nous sommes soumis aux lois de la nature .
i am ashamed of myself .,j ai honte de moi meme .
i am looking for a house to rent .,je cherche une maison a louer .
i m from kyoto .,je suis de kyoto .
i m from kyoto .,je viens de kyoto .
i am a student at oxford university .,je suis etudiant a l universite d oxford .
i am a bachelor .,je suis celibataire .
i am at home .,je suis a la maison .
i am more beautiful than you .,je suis plus beau que toi .
i am more beautiful than you .,je suis plus beau que vous .
i am more beautiful than you .,je suis plus belle que vous .
i am more beautiful than you .,je suis plus belle que toi .
i am beginning to understand .,je commence a comprendre .
i am eating an apple .,je mange une pomme .
i m listening to the radio .,j ecoute la radio .
i m often half asleep .,je suis souvent a demi endormi .
i am finally quits with the man .,j en ai termine avec ce type .
you re old enough to know better .,tu es assez vieux pour savoir mieux .
you re old enough to know better .,tu devrais le savoir a ton age .
i m going to save more money .,je vais epargner plus d argent .
we re not getting anywhere .,nous n allons nulle part .
he s no spring chicken .,il est d un certain age .
he s no spring chicken .,il n est pas jeune .
he s no spring chicken .,il n est pas de la derniere pluie .
we are looking forward to seeing you again .,nous nous rejouissons de vous revoir .
i m sick and tired of hamburgers .,je n en peux plus des hamburgers .
we are going to have a baby .,nous attendons un bebe .
we are going to have a baby .,nous allons avoir un bebe .
i m tired of it .,j en ai ras le bol .
he s not coming according to mary .,selon marie il ne viendra pas .
i am looking for my glasses .,je cherche mes lunettes .
i m through with mary .,je ne suis plus avec mary .
you re disgusting !,t es degueulasse !
they are all the same .,ils sont tous les memes .
they are all irritable .,ils sont tous irritables .
he is a living fossil !,c est un fossile vivant !
he is still on his back .,il est toujours alite .
you re still green .,tu es encore jeune .
you re still green .,vous etes encore inexperimente .
you re still green .,tu es encore un bleu .
i am looking forward to seeing you again .,je me rejouis de te revoir .
i am looking forward to seeing you again .,je me rejouis de vous revoir .
i am looking forward to seeing you again .,je suis impatient de vous revoir .
i am looking forward to seeing you again .,je suis impatiente de vous revoir .
i am looking forward to seeing you again .,je suis impatient de te revoir .
i am looking forward to seeing you again .,je suis impatiente de te revoir .
i m not ready yet .,je ne suis pas encore pret .
i m not ready yet .,je ne suis pas encore prete .
i m working for mcdonald s .,je travaille chez mcdonald s .
i m kind of happy .,je suis assez heureux .
i m kind of happy .,je suis pour ainsi dire heureux .
he s almost as tall as me .,il est presque aussi grand que moi .
i m about ready .,je suis presque pret .
i m about ready .,je suis quasiment pret .
i m about ready .,je suis presque prete .
i m about ready .,je suis quasiment prete .
i m a little angry with you .,je suis un peu en colere contre toi .
i am no younger than you are .,je ne suis pas plus jeune que toi .
i m tom hunter .,je suis tom hunter .
i m in need of money .,j ai besoin d argent .
i m on the balcony .,je suis sur le balcon .
i m not familiar with french poets .,je connais mal les poetes francais .
i m attaching three files .,je joins trois fichiers .
you re sick !,vous etes malade !
you re sick !,tu es malade !
you re sick !,vous etes malade !
i m thinking of going to paris .,je pense aller a paris .
i m dying to see paris .,je meurs d envie de voir paris .
i m ashamed because i acted foolishly .,j ai honte car j ai agi stupidement .
i m looking for a part time job .,je cherche un travail a mi temps .
i m looking forward to the party .,j attends la fete avec impatience .
i m dying of thirst .,je meurs de soif .
i m kind of sick today .,je suis un peu malade aujourd hui .
they are all alike .,ils sont tous semblables .
i am used to driving a truck .,je suis habitue a conduire un camion .
i am used to driving a truck .,je suis habituee a conduire un camion .
i am too tired to walk any more .,je suis trop fatigue pour marcher davantage .
i m too tired to walk any longer .,je suis trop fatigue pour marcher plus longtemps .
they are very big .,ils sont tres gros .
they are very big .,ils sont tres grands .
they are very big .,elles sont tres grosses .
they are very big .,elles sont tres grandes .
they are very big .,elles sont tres massives .
they are very big .,ils sont tres massifs .
i am greatly impressed .,je suis tres impressionne .
i m as hungry as a bear .,j ai une faim de loup .
i m as hungry as a bear .,je suis aussi affame qu un ours .
he is rather optimistic .,il est plutot optimiste .
i m just another man .,je suis juste un autre homme .
i m afraid i caught a cold .,je crains de m etre enrhume .
i m afraid she will fail .,j ai bien peur qu elle va echouer .
i m sorry .,excuse moi .
i m sorry .,desole .
i m sorry .,excusez moi .
i m sorry .,pardon !
i m sorry .,desole !
i m sorry .,je suis desole .
i m sorry .,je suis desolee .
i m afraid it will rain .,j ai peur qu il pleuve .
i m just looking thank you .,je ne fais que regarder merci .
i am weak in german .,je suis faible en allemand .
i m just watching tv .,je suis en train de regarder la television .
i m going to join a demonstration .,je vais rejoindre une manifestation .
i am afraid i must be going now .,j ai peur de devoir partir maintenant .
you are a good tennis player .,tu es un bon joueur de tennis .
you re being bossy aren t you ?,tu es autoritaire non ?
i m worn out .,je suis epuise .
i m going out for a while .,je sors un moment .
i m just looking around .,je ne fais que regarder .
i m about to leave .,je suis sur le point de partir .
i m busy at the moment .,je suis occupe pour le moment .
we re out of stock now .,nous sommes actuellement en rupture de stock .
i m home mom !,je suis rentre maman !
you re about right .,tu as presque raison .
i m sorry for what i did .,desole de ce que j ai fait .
i m afraid i have to go now .,je suis desole je dois partir maintenant .
i am sad to hear it .,ca me rend triste d entendre ca .
i m very sorry to hear that .,je suis effondre d entendre ca .
i m sorry to hear it .,je suis desole d entendre ca .
they are matters which we need to discuss .,ce sont des affaires dont nous devons parler .
they are too numerous to enumerate .,ils sont trop nombreux pour les compter .
they are important matters .,ce sont des choses importantes .
they are our cars .,ce sont nos voitures .
they are very big apples .,ce sont de tres grosses pommes .
i am tired of hearing it .,je suis fatigue de l entendre .
i m not going to sell it .,je ne le vendrai pas .
i m not going to sell it .,je ne la vendrai pas .
you re carrying this too far .,tu fais aller ca trop loin .
you re carrying this too far .,vous faites aller ca trop loin .
she is charming for all that .,elle est charmante pour tout ca .
they are discussing the problem .,ils discutent du probleme .
i m against the bill .,je suis contre ce projet de loi .
i m for the bill .,je suis pour ce projet de loi .
he is the one who comes after me .,c est celui qui vient apres moi .
i m sure i have the right number .,je suis convaincu d avoir le bon numero .
i am living from day to day .,je vis au jour le jour .
i am disappointed at the news .,je suis decu par les nouvelles .
he is to blame for it .,il est a blamer pour ca .
he is to blame for it .,c est sa faute .
they are both working at the pet store .,ils travaillent tous les deux a l animalerie .
you are holding my hand in that picture .,tu me tiens la main sur la photo .
he is responsible for the accident .,il est responsable de cet accident .
he is responsible for the accident .,il est responsable de l accident .
he is very proud of his toy .,il est tres fier de son jouet .
he is as tall as his father .,il est aussi grand que son pere .
he is an indispensable member for the staff .,c est un membre indispensable du personnel .
i am very pleased at the news .,les nouvelles me ravissent .
i m very sad to hear that .,je suis tres triste d entendre cela .
i m very sad to hear that .,je suis tres triste d entendre ca .
i m quite sure of that .,j en suis quasiment certain .
he is apparently responsible for it .,il est responsable semble t il .
you are mistaken about that .,tu te trompes a ce sujet .
you are mistaken about that .,vous faites erreur a ce propos .
i m not at all tired .,je ne suis pas fatiguee du tout .
i m not at all tired .,je ne suis pas fatigue du tout .
i m not at all tired .,je ne suis pas du tout fatigue .
i m looking for a sweater .,je cherche un pull over .
i m looking for a sweater .,je cherche un chandail .
i m sorry i m busy right now .,je suis desolee je suis occupee maintenant .
i m satisfied with everything .,je suis satisfait de tout .
you re driving too fast .,tu conduis trop vite .
you re driving too fast .,vous conduisez trop vite .
i am terribly hungry .,j ai terriblement faim .
i m coming .,je jouis .
i m coming .,je viens .
i m coming at once .,j arrive tout de suite .
i m from singapore .,je suis de singapour .
you are welcome jack !,de rien jack !
i m from zambia .,je suis de zambie .
i am sorry to trouble you .,je suis desole de te deranger .
i am sorry to trouble you .,je suis desolee de te deranger .
i m very sorry to have troubled you .,je suis vraiment desole de t avoir derange .
i m sorry to trouble you .,je suis desole de te poser des problemes .
i am sorry to have troubled you .,veuillez m excuser de vous avoir derange .
i am grateful to you for your kindness .,je te suis reconnaissant pour ta gentillesse .
i am grateful to you for your kindness .,je vous suis reconnaissant de votre gentillesse .
i am grateful to you for your help .,je vous suis reconnaissant pour votre aide .
we are beginning our descent .,nous commencons maintenant notre descente .
i m going home now .,je vais a la maison maintenant .
i m going shopping at the supermarket .,je vais faire les courses au supermarche .
i am going to substantiate this theory .,je vais etayer cette theorie .
i m free on sunday .,je suis libre le dimanche .
we are having a mild winter .,nous avons un hiver doux cette annee .
i m tired of living this life .,je suis fatigue de cette vie .
i am uncomfortable in these new shoes .,ces nouvelles chaussures sont inconfortables .
you re wrong in this case .,tu as tort dans ce cas .
you re wrong in this case .,vous avez tort dans ce cas .
you are responsible for this accident .,tu es responsable de cet accident .
i m going to america this summer .,je vais en amerique cet ete .
i am fed up with this wet weather .,j en ai assez de ce temps humide .
i am fed up with this wet weather .,j en ai marre de ce temps humide .
i m fed up with this wet weather .,j en ai marre de ce temps humide .
i m fed up with this weather .,j en ai marre de ce temps .
you re going the wrong way .,tu vas dans la mauvaise direction .
i m a stranger here .,je suis un etranger ici .
i m a stranger here .,je suis une etrangere ici .
i am here on business .,je suis ici pour affaires .
i am quite a stranger here .,je suis un etranger ici .
you are not supposed to smoke here .,vous n etes pas censes fumer ici .
you are not supposed to smoke here .,vous n etes pas cense fumer ici .
you are not supposed to smoke here .,tu n es pas censee fumer ici .
you are not supposed to smoke here .,tu n es pas cense fumer ici .
you are not supposed to smoke here .,vous n etes pas censees fumer ici .
you are not supposed to smoke here .,vous n etes pas censee fumer ici .
i m surprised to see you here .,je suis surpris de vous voir ici .
i m dying for a cup of coffee .,je meurs d envie d un cafe .
you are very early this morning .,vous etes la de bonne heure ce matin !
he is dead drunk .,il est ivre mort .
he s sound asleep .,il dort profondement .
you are my sunshine .,tu es mon rayon de soleil .
i m sure she will turn up soon .,je suis certain qu elle va bientot surgir .
i m from canada .,je viens du canada .
we re running out of gas .,nous allons manquer de gaz .
i m sorry to interrupt you .,excusez moi de vous interrompre .
i m glad i could help .,je suis heureux d avoir pu vous aider .
i m afraid i can t help you .,je crains de ne pouvoir t aider .
i m looking forward to seeing you .,j ai hate de vous voir .
i am honored to meet you .,je suis tres honore de vous rencontrer .
i am charmed to see you .,cela m enchante de vous voir .
i m pleased to see you .,je suis ravi de te voir .
i m pleased to see you .,je suis ravi de vous voir .
i m very pleased to meet you .,je suis ravi de faire votre connaissance .
i am familiar with your name .,votre nom m est familier .
i am familiar with your name .,ton nom m est familier .
i m looking forward to receiving your reply .,j ai hate de recevoir ta reponse .
i m looking forward to receiving your reply .,il me tarde de recevoir votre reponse .
i m getting hungry .,je commence a avoir faim .
i m starved .,je meurs de faim !
i m starved .,j ai l estomac dans les talons .
i m starved .,j ai la dalle .
i m starved .,j ai les crocs .
i m glad to meet you .,je suis content de vous voir .
i m sorry to have kept you waiting .,je suis desole de vous avoir fait attendre .
i m counting on you .,je compte sur toi .
you are drunk !,tu es bourre !
you are drunk !,tu es saoul !
i am willing to help you .,je suis desireux de t aider .
i am willing to help you .,je suis desireux de vous aider .
i am looking forward to your letter .,j attends impatiemment ta lettre .
i am sorry if i disturbed you .,je suis desolee si je t ai derange .
i m sure the children are getting big .,je suis sure que les enfants grandissent .
i m trying to save money .,j essaie d economiser de l argent .
i am running short of money .,je suis a court d argent .
i m very happy to make your acquaintance .,je suis heureux de vous avoir rencontre .
i am sorry for you .,je suis desole pour toi .
i m afraid you have the wrong number .,vous vous etes trompe de numero .
i m charmed to meet you .,je suis enchante de vous rencontrer .
you are under arrest .,vous etes en etat d arrestation .
you re fired .,tu es vire .
you re fired .,tu es licencie .
you are too young to travel alone .,tu es trop jeune pour voyager seul .
you are too young to travel alone .,vous etes trop jeune pour voyager seul .
you are too young to travel alone .,vous etes trop jeune pour voyager seule .
you are too young to travel alone .,vous etes trop jeunes pour voyager seuls .
you are too young to travel alone .,vous etes trop jeunes pour voyager seules .
you are too young to travel alone .,tu es trop jeune pour voyager seule .
i m afraid she may have the mumps .,j ai peur qu elle ait les oreillons .
i m fine thank you .,ca va merci .
i m fine thank you .,je vais bien merci .
i m aching to go to australia .,j ai tres envie d aller en australie .
we are a family of five .,nous sommes cinq dans la famille .
i am coming .,j arrive .
i am coming .,je viens .
we are cousins .,nous sommes cousins .
